Sous section ;Article ;PU;Nb jours ;Heures marche;consommation L/h;consommation journalière ;Prix Gasoil ;MONTANT 
AUTRE;AMBULANCE STANDARD HYUNDAI H1;188,29;26;1,00;2;2;12;624,00
AUTRE;AMBULANCE STANDARD RENAULT TRAFIC VAN L1H1;188,29;26;1,00;2;2;12;624,00
BETONNAGE ;BETONNIERE THERMIQUE 500 L BMTP RM1200;99,49;26;6,00;4;24;12;7 488,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2 T MONTABERT V32;339,51;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2 T SOOSAN SB 100 TS-P;339,51;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2 T SOOSAN SB100TS-P;339,51;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB 121 TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB121TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB125TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 2,5 T SOOSAN SB125TS-P;395,06;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3 T SOOSAN SB140TS-P;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3 T SOOSAN SB140TS-P;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3 T SOOSAN SQ130;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3,2 T SOOSAN SQ140;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 3,7 T DAEMO BN480;475,31;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BRISE ROCHE HYDRAULIQUE 4 T SOOSAN SQ150;479,01;26;7,00;15;105;12;32 760,00
TERRASSEMENT;BULLDOZER D 6 CATERPILLAR D6 G2 XL;2060,16;26;8,00;15;120;12;37 440,00
TERRASSEMENT;BULLDOZER D 6 CATERPILLAR D6GC;2060,16;26;8,00;15;120;12;37 440,00
TERRASSEMENT;BULLDOZER D 6 CATERPILLAR D6GC;2060,16;26;8,00;15;120;12;37 440,00
TERRASSEMENT;BULLDOZER D 8 KOMATSU D155 A;2987,23;26;8,00;15;120;12;37 440,00
TERRASSEMENT;BULLDOZER D 9 CATERPILLAR D9GC;4326,33;26;8,00;15;120;12;37 440,00
TRANSPORT;BUS 21 PASSAGERS FORD TRANSIT;353,60;26;4,00;10;40;12;12 480,00
TRANSPORT;BUS 40 PASSAGERS KING LONG L1EBF;599,17;26;4,00;10;40;12;12 480,00
TRANSPORT;BUS 50 PASSAGERS ASHOK LEYLAND F/P/4/W/S;748,97;26;4,00;10;40;12;12 480,00
TRANSPORT;BUS 50 PASSAGERS MAN R39;748,97;26;4,00;10;40;12;12 480,00
TRANSPORT;BUS 50 PASSAGERS NEOPLAN P21;748,97;26;4,00;10;40;12;12 480,00
TRANSPORT;BUS 50 PASSAGERS SCANIA F94HB4 X 2NZ220;748,97;26;4,00;10;40;12;12 480,00
TRANSPORT;BUS 50 PASSAGERS VOLVO B11R;748,97;26;4,00;10;40;12;12 480,00
TRANSPORT;CAMION AMPLIROLL STANDARD ISUZU FTR33M;647,90;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 6 X 4 IVECO AD380T38H 6X4;739,38;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 IVECO 410T42H;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 MAN TGS41.420;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 MAN TGS41.480;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 MERCEDES 4140;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 SCANIA P380CB8 X 4HNZ;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 SCANIA P400;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION BENNE 8 X 4 SCANIA P410B8 X 4HZ;1048,94;26;10,00;20;200;12;62 400,00
TRANSPORT;CAMION CITERNE A EAU 10 T IVECO ML180E24H;554,29;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A EAU 10 T IVECO ML180E28;554,29;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A EAU 16 T ISUZU FTR34P;600,00;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A EAU 18 T ISUZU FVR34P;578,67;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A EAU 18 T ISUZU FVR34P;600,00;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A GASOIL 10 T ISUZU FTR34P;326,43;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A GASOIL 16 T ISUZU FTR34P;554,29;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A GASOIL 16 T ISUZU FVR33G;554,29;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A GASOIL 18 T ISUZU FVR34P;578,67;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION CITERNE A GASOIL 18 T VOLVO TH40A;578,67;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION DE SERVITUDE 18 T ISUZU FVR34P;540,99;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION D'ENTRETIEN 16 T ISUZU FTR34P;1388,91;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION D'ENTRETIEN 18 T ISUZU FVR34P;1562,52;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION D'ENTRETIEN 18 T SITRAK 1AM;540,99;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION D'ENTRETIEN 7,5 T ISUZU NPR75K;880,62;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION D'ENTRETIEN 7,5 T IVECO ML180E28;880,62;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION GRUE 1T À 7,4 M ISUZU/PALFINGER NPR75L;2500,00;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 10 M³ MAN TGS 41.360;1048,21;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 10 M³ MERCEDES 3240;1048,21;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 10 M³ MERCEDES 3240B/45;1048,21;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 10 M³ MERCEDES 4141B;1048,21;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 10 M³ SINOTRUCK C7H-440;1048,21;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 12 M³ SCANIA P410B8X4HZ;1500,00;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 12 M³ SITRAK C7H-440;1500,00;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION MALAXEUR 14 M³ SITRAK C7H-440;1500,00;26;8,00;20;160;12;49 920,00
TRANSPORT;CAMION PLATEAU 18 T ISUZU FVR34P;650,00;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION PLATEAU 25 T MERCEDES 2040S;803,11;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 36 M MAN TGA33 360;1861,55;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 39 M MAN/SCHWING TGS 33360/SA 18.881;2700,00;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 42 M CIFA PA1506/909;3591,08;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 52 M MAN C7H 6x4;3592,38;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 52 M MERCEDES AROCS 3343 6X4;3592,38;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 52 M SITRAK C7-H (6X4);3592,38;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION POMPE A BETON 52 M SITRAK C7H 6X4;3592,38;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SEMI BENNE 40 T SCANIA P4X200;866,50;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SEMI BENNE STANDARD MERCEDES 2031S;866,50;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SEMI BENNE STANDARD SCANIA R124GA4X2NZ360;866,50;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SERVITUDE 19 T ISUZU FTR34P;571,05;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SERVITUDE 3,5 T ISUZU NNR85H;280,00;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SERVITUDE 7 T ISUZU FTR33M;320,00;26;6,00;20;120;12;37 440,00
TRANSPORT;CAMION SERVITUDE 7 T MERCEDES 1520;320,00;26;6,00;20;120;12;37 440,00
BETONNAGE ;CENTRALE A BETON 100 M³/H MEKA MB 100;4206,53;26;6,00;20;120;12;37 440,00
BETONNAGE ;CENTRALE A BETON 120 M³/H ELBA EBCD105;4311,69;26;6,00;20;120;12;37 440,00
BETONNAGE ;CENTRALE A BETON 120 M³/H ELBA ESM105;4311,69;26;6,00;20;120;12;37 440,00
BETONNAGE ;CENTRALE A BETON 60 M³/H LAMBERT RANGER 60;2084,09;26;6,00;20;120;12;37 440,00
BETONNAGE ;CENTRALE A BETON BCV 120 M³/H LIEBHERR BETOMIX 2.25;4311,69;26;6,00;20;120;12;37 440,00
BETONNAGE ;CENTRALE D'INJECTION 0,5 T O.CUOGHI LTW1000-T;767,05;26;7,00;20;140;12;43 680,00
TERRASSEMENT;CHARGEUSE 1 M³ DOOSAN MEGA 300-V;1486,98;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 2,5 M³ CASE 621E;1156,54;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 3,2 M³ DOOSAN DL 300;1419,20;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 3,2 M³ DOOSAN DL300-3;1419,20;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 3,2 M³ DOOSAN DL300A;1419,20;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 3,2 M³ DOOSAN DL320A-7M;1419,20;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 3,2 M³ DOOSAN DL320A-7M;1419,20;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 4 M³ DEVELON DL420-7M;1774,31;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 4 M³ DOOSAN DL 420 A;1774,31;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE 4 M³ DOOSAN DL420A-7M;1774,31;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE SUR PNEU 2,5 M³ DOOSAN DL250-7M;1156,54;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ BOBCAT  B730R;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ CASE 580;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ MST M542;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ MST M542S;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ MST M542S;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ NEW HOLLAND LB 95 B;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;CHARGEUSE TRACTOPELLE 1 M³ VOLVO BL61;904,97;26;8,00;16;128;12;39 936,00
TERRASSEMENT;COMPACTEUR A BILLE 16 T CATERPILLAR CS74B;1079,39;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 17 T AMMANN ASC170;1121,91;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 19 T HAMM 3520;1214,95;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 2,25 T AMMANN ARX23;134,75;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 2,5 T CATERPILLAR CB2.5;134,75;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 2,5 T HAMM HD10VV;134,75;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 2,5T AMMANN ARX26;134,75;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR A BILLE 20 T HAMM 3520;1278,90;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR ROULEAU VIBRANT 0,7 T MIKASA MRH-700DSCB;215,23;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR ROULEAU VIBRANT 0,7 T WACKER NEUSON RD7;215,23;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR ROULEAU VIBRANT 0,7 T WACKER NEUSON RD7;215,23;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR ROULEAU VIBRANT 2,5 T HAMM HD10VV;514,69;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR ROULEAU VIBRANT 2,5 T HAMM HD12VV;514,69;26;7,00;10;70;12;21 840,00
TERRASSEMENT;COMPACTEUR ROULEAU VIBRANT 4 T HAMM HD14VV;561,47;26;7,00;10;70;12;21 840,00
AUTRE;COMPRESSEUR ELECTRIQUE 110 KW INGERSOLLRAND R110.IA8.5;790,70;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 12 BARS - 14,3 M³/MIN ATLAS COPCO XAHS236;415,38;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 20 BARS - 23,5 M³/MIN ATLAS COPCO XRHS396MD;830,00;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 21 BARS - 21,5 M³/MIN DOOSAN BOBCAT PA755P;700,00;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 21 BARS - 21,5 M³/MIN DOOSAN PP 21/215-HA T3;700,00;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 21 BARS DOOSAN 21/215HAT3;700,00;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN AIR MAN PDS 185S;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN AIR MAN PDS 185S-6C2;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN ATLAS COPCO XAS88;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN ATLAS COPCO XAS88 ;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN ATLAS COPCO XAS88KD;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN DOOSAN 19541;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN DOOSAN 7/51;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN DOOSAN 7/53;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN DOOSAN 7/71 HA;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 5 M³/MIN DOOSAN C185;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7 BARS - 5 M³/MIN AIRMAN PDS 185S-6C2;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7 BARS - 8 M³/MIN ATLAS COPCO XAS137DD;218,27;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7 BARS / 5 M³/MIN AIR MAN PDS 185S-6C2;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7 BARS / 5 M³/MIN BOBCAT PA185W;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7 BARS / 5 M³/MIN DOOSAN C185;165,48;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7,5 M³/MIN AIR MAN PDS 265S;218,27;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7,5 M³/MIN AIR MAN PDS 265S-4B2;218,27;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7,5 M³/MIN ATLAS COPCO XAS88KD;218,27;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7,5 M³/MIN ATLAS COPCO XAS97;218,27;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7,5 M³/MIN DOOSAN 7/71;218,27;26;8,00;12;96;12;29 952,00
AUTRE;COMPRESSEUR THERMIQUE 7,5 M³/MIN DOOSAN P250;218,27;26;8,00;12;96;12;29 952,00
AUTRE;CONCASSEUR  CRIBLE 1 ET X 6 M X 0,6 M POWERSCREEN FM120;362,96;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR  CRIBLE 12 M² X 4 ET  ;510,93;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR  CRIBLE 12 M² X 4 ET ASSOU INDUSTRIE ;510,93;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR  CRIBLE 14,7 M² X 4 ET ASSOU INDUSTRIE ;823,20;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR  CRIBLE 16 M² X 3 ET HAVER & BOECKER NIAGARA 3 ETAGES;672,00;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR  CRIBLE 3 ET - 12 M² HAVER & BOECKER NIAGARA 3 ETAGES;510,93;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR  CRIBLE 6 M² X 4 ET ASSOU INDUSTRIE 0;336,00;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR A MACHOIR ROHER 1100 X 900;1288,06;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR GIRATOIRE METSO HP300;3328,33;26;8,00;30;240;12;74 880,00
AUTRE;CONCASSEUR PRIMAIRE 0,9 X 1 M SANDVIK CJCJ411;2607,86;26;8,00;30;240;12;74 880,00
AUTRE;DAME SAUTEUSE 70 KG HYUNDAI HY-70HN;49,98;26;7,00;1;7;12;2 184,00
TERRASSEMENT;DUMPER 40 T TEREX TA 400;3090,13;26;7,00;25;175;12;54 600,00
LEVAGE ;ELEVATEUR CHARIOT FRONTAL DIESEL 7000 KG LINDE H80D-02;700,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 3,5 T / 12 M JCB 535V125;354,27;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T / 16,7 M BOBCAT TR40180;700,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T / 16,7 M JCB 540-170;700,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T / 16,7 M MANITOU MT1740;700,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T / 16,7 M MANITOU MT-X1740 SLT;700,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T / 18 M MANITOU MT1840;400,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T BOBCAT TR40180;400,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4 T/ 14 M BOBCAT TR40180;400,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4T / 18M BOBCAT T40180R;750,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4T / 18M BOBCAT T40180R;750,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4T / 18M MANITOU MTX1840;700,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4T / 18M MANITOU MTX1840;750,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE 4T / 18M MANITOU MTX1840;750,00;26;5,00;8;40;12;12 480,00
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE ROTATIF 4 T / 18 M MANITOU MRT 1850;400,00;26;5,00;8;40;12;12 480,00
