Sous section ;Article ;PU;Nb jours ;Heures marche;consommation L/h;consommation journalière ;Prix Gasoil ;MONTANT 
LEVAGE ;ELEVATEUR CHARIOT TELESCOPIQUE ROTATIF 4 T / 18 M MANITOU MRT1840;400,00;26;5,00;8;40;12;12 480,00
AUTRE;GROUPE DE REFROIDISSEMENT FABRIQUE DE GLACE 20 T / 24 H TAMUTOM FIM 20 TON;372,60;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE DE REFROIDISSEMENT FABRIQUE DE GLACE 5 T / 24 H - 35 HP TAMUTOM BIM 5 TON;372,05;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 100 KVA ATLAS COPCO QES 100 CUD;157,23;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 100 KVA CUMMINS C110D5S;157,23;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 100 KVA DEUTZ ;157,23;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 100 KVA HIMOINSA HDW-100 T5;157,23;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 100 KVA MECC ALTE SPA ECP34-2S/4;157,23;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 120 KVA AKSA AD132;160,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 120 KVA AKSA AD132;160,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 120 KVA DEUTZ BF4M1013FC;160,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 135 KVA DEUTZ GE135MN-1;170,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 15 KVA CUMMINS C17D5;181,10;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 15 KVA HIMOINSA HZA1-15C T5;181,10;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 150 KVA AKSA APD165BD;162,08;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 150 KVA PRAMAC GSW150;162,08;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 160 KVA AKSA AD185;165,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 20 KVA DEUTZ F3M2011;226,37;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 20 KVA HIMOINSA HYW 20-T5;226,37;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 20 KVA HIMOINSA HYW 20-T7;226,37;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 20 KVA PEGASUS PEG20KVA-C-BAU;226,37;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 200 KVA AKSA APD220BD;213,04;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 250 KVA AKSA AD220;225,17;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 250 KVA DEUTZ GE250MN-1;225,17;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 250 KVA ELECTRO DIESEL FDS250;225,17;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 30 KVA DEUTZ DPS30;141,86;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 30 KVA DEUTZ F4M2011;141,86;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 33 KVA AKSA AP33;141,86;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 33 KVA HIMOINSA HYW-35 T5;141,86;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 330 KVA KOHLER SDMO P126TI-II;330,96;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 37,5 KVA CUMMINS C38D5;128,28;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 40 KVA DEUTZ BF4M2011;84,75;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 45 KVA PERIN S6100 - 42 KVA;100,53;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 50 KVA HIMOINSA HSY-50-T5;102,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 500 KVA AKSA AD510;499,84;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 500 KVA AKSA AP50;499,84;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 500 KVA HIMOINSA HSW-500TS;499,84;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 500 KVA VOLVO PENTA TAD1344GE;499,84;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 525 KVA AKSA AD510;544,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 60 KVA DEUTZ GE60MN-1;104,75;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 80 KVA  ATLAS COPCO QES80;120,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 80 KVA AKSA AD93;120,00;26;12,00;20;240;12;74 880,00
AUTRE;GROUPE ELECTROGENE 85 KVA AKSA AD93;125,00;26;12,00;20;240;12;74 880,00
LEVAGE ;GRUE A TOUR 60 M - 3 T POTAIN H30/30C;1259,23;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR 65 M - 1,85 T POTAIN MDT218;2111,48;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR 65 M - 1,85 T POTAIN MDT218A J10;2111,48;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR 65 M - 1,85 T POTAIN MDT218A J8;2111,48;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR 75 M - 3T POTAIN MD365B;5310,52;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR 75 M - 3T POTAIN MDT368L12;5310,52;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR 75 M - 3T POTAIN MDT368L16;5310,52;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR MAX 40 T / 7,2 T À 80 M XCMG XGT800-40S;10647,91;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE A TOUR MAX 5 T / 1,1 T À 52 M XCMG XGT5211C-5S1;2155,98;26;10,00;8;80;12;24 960,00
LEVAGE ;GRUE MOBILE SUR CHENILLE 500 T ZOOMLION ZCC5000V-1;23525,82;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR CHENILLES 280 T LIEBHERR LR1280;12409,62;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 110 T ZOOMLION ZRT1100-0281;3458,27;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 25 T XCMG QY25K5H;1426,30;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 40 T ZOOMLION ZRT400V-1;2100,00;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 50 T ZOOMLION ZRT500V432;2623,86;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 55 T XCMG XCR55L4;2750,78;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 55 T XCMG XCR55L4H;2750,78;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 70 T ZOOMLION ZRT700V5-1;2877,70;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEU 70 T ZOOMLION ZRT700V532-1;2877,70;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 160 T LIEBHERR LTM1160/2;6628,33;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 160 T LIEBHERR LTM1160-5.1;6628,33;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 30 T TEREX A350;1929,52;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 30 T TEREX RC30;1929,52;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 30 T TEREX RC30-1;1929,52;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 30 T XCMG XCR30;1929,52;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 35 T GROVE RT550E;2000,00;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 35 T TEREX A400;2000,00;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 35 T TEREX RT35;2000,00;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 40 T XCMG XCR40H;2100,00;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 50 T LIEBHERR A31A;2623,86;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 60 T GROVE RT765E-2;2877,70;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 60 T TEREX 1065;2877,70;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 60 T TEREX A600;2877,70;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 60 T ZOOMLION ZRT600V532-1;2877,70;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE MOBILE SUR PNEUS 90 T GROVE RT890E;3458,27;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE TELESCOPIQUE SUR CHENILLES 40 T XCMG XGC40T;2100,00;26;8,00;16;128;12;39 936,00
LEVAGE ;GRUE TELESCOPIQUE SUR CHENILLES 55 T XCMG XGC55T;2860,00;26;8,00;16;128;12;39 936,00
TERRASSEMENT;MACHINE DE FORATION 37 KW - 3,6 KM TEC SYSTEM FUTURO 50;800,00;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION 37 KW - 3,6 KM TEC SYSTEM FUTURO F000134;800,00;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION 50 CV TEC SYSTEM FUTURO 50;800,00;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION CRAWLAIR 45 - 325 MM COMACCHIO MC 8;1445,47;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION CRAWLAIR 64 - 89 MM / 15 M FURUKAWA HCR910DS;2397,04;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION SONDEUSE 116 MM - 150 M DIAMANT BOART DB 450;1517,31;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION SONDEUSE 140 MM - 300 M COMACCHIO MC 600;1961,22;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION SONDEUSE 140 MM - 600 M COMACCHIO MC 1200;2680,09;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MACHINE DE FORATION SONDEUSE 37 KW - 3,6 KM TEC SYSTEM FUTURO F000166;800,00;26;7,00;10;70;12;21 840,00
TERRASSEMENT;MINI CHARGEUSE 0,42 M³ BOBCAT S 450B;531,26;26;8,00;8;64;12;19 968,00
TERRASSEMENT;MINI CHARGEUSE 0,42 M³ BOBCAT S 450B-STD;531,26;26;8,00;8;64;12;19 968,00
TERRASSEMENT;MINI CHARGEUSE 0,42 M³ BOBCAT S450;531,26;26;8,00;8;64;12;19 968,00
TERRASSEMENT;MINI CHARGEUSE 0,42 M³ BOBCAT S590;531,26;26;8,00;8;64;12;19 968,00
TERRASSEMENT;MINI PELLE  HYDRAULIQUE 4 T BOBCAT E45;838,31;26;8,00;6;48;12;14 976,00
TERRASSEMENT;MINI PELLE  HYDRAULIQUE 5 T BOBCAT 337;950,00;26;8,00;6;48;12;14 976,00
TERRASSEMENT;MINI PELLE  HYDRAULIQUE 5 T BOBCAT E50;950,00;26;8,00;6;48;12;14 976,00
LEVAGE ;NACELLE ARTICULE DIESEL 40 M / 230 KG JLG 1250AJP;1120,00;26;7,00;6;42;12;13 104,00
LEVAGE ;NACELLE TELESCOPIQUE DIESEL 26 M / 230 KG XCMG XGA26K;1233,06;26;7,00;6;42;12;13 104,00
TERRASSEMENT;NIVELEUSE 14 T CATERPILLAR 140 H;2180,44;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 16,5 T XCMG GR215;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 17 T CATERPILLAR 12 H;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 17 T CATERPILLAR 12 K;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 17 T CATERPILLAR 140 GC;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 17 T CATERPILLAR 140 H;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 17 T CATERPILLAR 140 K;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;NIVELEUSE 17 T CATERPILLAR 140 K;2647,68;26;8,00;10;80;12;24 960,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 25 T VOLVO ECR235EL;900,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 30 T DOOSAN DX 300 LCA;1081,94;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 30 T DOOSAN DX 340LCA;1081,94;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 30 T DOOSAN DX300LCA;1081,94;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 30 T DOOSAN DX300LCA;1081,94;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 34 T DOOSAN DX 340LCA;1200,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 34 T DOOSAN DX340LAC-K;1200,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 34 T DOOSAN DX340LCA;1200,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 34 T DOOSAN DX340LCA-K;1200,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 36 T DEVELON DX360LCA-7M;1300,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 36 T DOOSAN DX360LCA-7M;1300,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 40 T DOOSAN DX 420 LCA;1600,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 45 T DEVELON DX450LCA-7M;2110,33;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 45 T DOOSAN DX450LCA-7M;2110,33;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 45 T DOOSAN DX450LCA-7M;2110,33;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 45 T VOLVO DX450LCA-7M;2110,33;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T CATERPILLAR 350-06;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T DOOSAN DX 520 LCA;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T DOOSAN DX520LCA-K;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T HITACHI ZX470LCH-5G;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T HITACHI ZX490LCH-7G;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T HITACHI ZX490LCH-7G;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T VOLVO EC480D;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T VOLVO EC480D;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T VOLVO EC480D;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 50 T VOLVO EC480DL;2136,96;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR CHENILLE 51 T DOOSAN DX530LC-7M-T3;2350,66;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T CATERPILLAR M320;1311,10;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T CATERPILLAR M320D2;1311,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T DOOSAN ;1311,10;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T DOOSAN DX190WA;1311,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T DOOSAN DX190WA;1311,10;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T DOOSAN DX190WA;1311,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T DOOSAN DX19WA;1311,00;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PELLE HYDRAULIQUE SUR PNEUS 20 T HYUNDAI R 200W-7;1311,10;26;8,00;12;96;12;29 952,00
TERRASSEMENT;PETIT DUMPER 1,5 T UROMAC V1500;239,06;26;7,00;8;56;12;17 472,00
TERRASSEMENT;PETIT DUMPER 3,5 T AUSA 350-AHG;305,16;26;4,00;8;32;12;9 984,00
BETONNAGE ;POMPE A BETON ET BETON PROJETEE 50 M³/H TURBOSOL TB50;633,00;26;6,00;16;96;12;29 952,00
BETONNAGE ;POMPE A BETON PROJETEE 30 M³/H TURBOSOL B. M. 30 D/T;500,00;26;6,00;16;96;12;29 952,00
BETONNAGE ;POMPE A BETON STATIONNAIRE 40 M³/H PUTZMEISTER BSA 1407 D;1160,95;26;6,00;16;96;12;29 952,00
AUTRE;POSTE A SOUDER AUTONOME MOSA TS400SC;30,00;26;7,00;3;21;12;6 552,00
AUTRE;POSTE TRANSFORMATEUR 400 KVA NEXANS 24/400-H-G-L;218,77;26;7,00;1;7;12;2 184,00
AUTRE;POSTE TRANSFORMATEUR 630 KVA NEXANS 24/630-H-G-L;400,00;26;7,00;1;7;12;2 184,00
TRANSPORT;REMORQUE BENNE 22 M³ LOCAL BENNE STANDARD;310,17;26;8,00;1;8;12;2 496,00
TRANSPORT;REMORQUE CITERNE A CIMENT 28000 L SAITEK CC1202;100,00;26;8,00;3;24;12;7 488,00
AUTRE;SCIE A CABLE 15 KW HILTI DSWS15;200,00;26;7,00;3;21;12;6 552,00
AUTRE;SCIE A CABLE 30 KW SCOMA 30KW-12P;350,00;26;7,00;3;21;12;6 552,00
AUTRE;TOUR D ECLAIRAGE 5 KVA GENERAC VTEVO;120,00;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D ECLAIRAGE GIE ATLAS COPCO HILIGHT V4;120,00;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D'ECLAIRAGE 3 KVA GENERAC GLT4;142,24;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D'ECLAIRAGE 3,5 KVA LUXTOWER LUXM10;38,36;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D'ECLAIRAGE 5 KVA ATLAS COPCO HILIGHT V5;120,00;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D'ECLAIRAGE 5 KVA GENERAC VTEVO;120,00;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D'ECLAIRAGE 8 KVA GENERAC VT8;135,00;26;8,00;3;24;12;7 488,00
AUTRE;TOUR D'ECLAIRAGE 8 KVA PALME PK4022;135,00;26;8,00;3;24;12;7 488,00
TERRASSEMENT;TRACTOPELLE 1 M³ MST M542S;904,97;26;8,00;3;24;12;7 488,00
TRANSPORT;VEHICULE PICK UP 1,5 T HYUNDAI H100;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 1,5 T MITSUBISHI L200 DC;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX 2,4 D;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX D4D 2,5 DOUBLE CABINE;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX D4D 2500;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 1,5 T TOYOTA HILUX IMV1;178,96;26;6,00;3;18;12;5 616,00
TRANSPORT;VEHICULE PICK UP 3,5 T FORD TRANSIT;178,96;26;6,00;3;18;12;5 616,00
